# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
a 	啊	c=6 d=0.276767 t=12980
a 	阿	c=84 d=2.56915 t=12980
a li ba ba 	阿里巴巴	c=2 d=0.000293105 t=12980
a li yun 	阿里雲	c=2 d=1.8003e-05 t=12980
ai ge 	挨個	c=1 d=1.86952e-08 t=12980
ai hao 	愛好	c=1 d=0.778801 t=12980
ai wen si 	埃文斯	c=1 d=6.97914e-05 t=12980
ai ya 	哎呀	c=1 d=0.000558643 t=12980
an 	安	c=1 d=0.0049667 t=12980
an 	按	c=4 d=0.0111647 t=12980
an chun dan 	鵪鶉蛋	c=1 d=0.511709 t=12980
an ge 	安格	c=1 d=0.412714 t=12980
an li 	按理	c=1 d=5.34243e-08 t=12980
an li 	案例	c=1 d=0.000311223 t=12980
an ni 	按你	c=1 d=0.946485 t=12980
an niu 	按鈕	c=3 d=0.000103081 t=12980
an pai 	安排	c=2 d=0.0510474 t=12980
an quan 	安全	c=5 d=0.869358 t=12980
an xu 	按需	c=2 d=2.06257e-05 t=12980
an zhao 	按照	c=6 d=0.0191667 t=12980
an zhuang 	安裝	c=15 d=0.0114786 t=12980
an zhuang bao 	安裝包	c=1 d=1.09757e-07 t=12980
ao ye 	熬夜	c=1 d=0.10383 t=12980
ba 	八	c=1 d=5.00707e-10 t=12980
ba 	吧	c=94 d=2.52969 t=12980
ba 	把	c=23 d=0.764195 t=12980
ba diao 	拔掉	c=2 d=0.121276 t=12980
ba tao 	八套	c=1 d=0.00895987 t=12980
bai 	百	c=2 d=0.000903395 t=12980
bai du 	百度	c=4 d=0.183599 t=12980
ban 	半	c=0 d=0.000319873 t=12980
ban 	版	c=1 d=3.291e-14 t=12980
ban 	辦	c=4 d=0.139898 t=12980
ban ben 	版本	c=11 d=0.235746 t=12980
ban fa 	辦法	c=2 d=0.00708341 t=12980
ban sha shi 	辦啥事	c=1 d=0.341298 t=12980
ban tian 	半天	c=1 d=1.39239e-12 t=12980
bang 	幫	c=4 d=0.61155 t=12980
bang ding 	綁定	c=3 d=9.14496e-06 t=12980
bang mang 	幫忙	c=2 d=1.71688e-06 t=12980
bang ni 	幫你	c=1 d=0.172045 t=12980
bang wo men 	幫我們	c=1 d=0.124307 t=12980
bao 	包	c=12 d=1.52394 t=12980
bao 	報	c=2 d=3.09577e-08 t=12980
bao 	寶	c=1 d=0.199888 t=12980
bao 	爆	c=2 d=0.0204832 t=12980
bao biao 	報表	c=1 d=3.20037e-09 t=12980
bao chi 	保持	c=1 d=0.0023344 t=12980
bao cun 	保存	c=5 d=0.357007 t=12980
bao cuo 	報錯	c=7 d=0.045295 t=12980
bao di 	保底	c=1 d=0.00215492 t=12980
bao e 	保額	c=1 d=3.0585e-05 t=12980
bao ge 	寶哥	c=14 d=0.836518 t=12980
bao han 	包含	c=8 d=0.10435 t=12980
bao he 	飽和	c=1 d=0.227638 t=12980
bao kuo 	包括	c=3 d=0.0330455 t=12980
bao le 	爆了	c=1 d=0.0223708 t=12980
bao lei ji 	堡壘機	c=6 d=4.23306e-05 t=12980
bao li 	包裏	c=1 d=3.08284e-10 t=12980
bao li tong 	宝利通	c=3 d=1.28662 t=12980
bao liu 	保留	c=2 d=5.65006e-09 t=12980
bao lou 	暴露	c=3 d=0.0746459 t=12980
bao xiu 	保修	c=1 d=0.000934966 t=12980
bao xiu 	報修	c=2 d=0.00180744 t=12980
bao zha 	爆炸	c=1 d=8.96444e-09 t=12980
bao zhang 	保障	c=1 d=3.76603e-12 t=12980
bao zhe ge 	爆這個	c=1 d=0.00918669 t=12980
bao zheng 	保證	c=1 d=0.00227676 t=12980
bei 	被	c=11 d=0.794534 t=12980
bei an 	北岸	c=1 d=1.16022e-13 t=12980
bei fen 	備份	c=16 d=2.04231 t=12980
bei jie shou 	被接受	c=0 d=2.05548e-07 t=12980
bei jing 	北京	c=2 d=0.227618 t=12980
bei zhu 	備註	c=1 d=0.000113353 t=12980
bei zi 	杯子	c=2 d=1.52878 t=12980
ben ci 	本次	c=6 d=0.0332068 t=12980
ben di 	本地	c=9 d=0.274031 t=12980
ben ji 	本機	c=5 d=0.190458 t=12980
ben jie 	本節	c=1 d=9.05145e-06 t=12980
ben jie zhong 	本節中	c=1 d=9.09683e-05 t=12980
ben lai 	本來	c=1 d=0.839457 t=12980
ben shen 	本身	c=3 d=0.000297341 t=12980
ben zhi 	本質	c=2 d=0.0623947 t=12980
beng kui le 	崩潰了	c=1 d=1.1396e-08 t=12980
bi 	比	c=2 d=0.0105145 t=12980
bi 	畢	c=1 d=9.54666e-14 t=12980
bi 	逼	c=2 d=0.384812 t=12980
bi jiao 	比較	c=11 d=1.2557 t=12980
bi mian le 	避免了	c=1 d=0.0218184 t=12980
bi ru 	比如	c=3 d=0.140156 t=12980
bi xu 	必須	c=17 d=0.963331 t=12980
bi xu yao 	必須要	c=1 d=0.0203434 t=12980
bi yao 	必要	c=4 d=0.485446 t=12980
bian 	變	c=1 d=3.03642e-08 t=12980
bian 	邊	c=1 d=0.00323088 t=12980
bian geng 	變更	c=3 d=0.000342239 t=12980
bian jie 	邊界	c=2 d=0.323033 t=12980
bian le 	變了	c=1 d=1.28158e-07 t=12980
bian li 	遍歷	c=8 d=1.97025 t=12980
bian liang 	變量	c=3 d=0.246736 t=12980
bian ma 	編碼	c=1 d=1.8692e-06 t=12980
bian pai 	編排	c=2 d=0.0024817 t=12980
bian ti 	變體	c=1 d=1.77804e-06 t=12980
bian ti 	遍體	c=1 d=1.76917e-06 t=12980
bian xie 	編寫	c=1 d=0.0018734 t=12980
bian yi 	編譯	c=2 d=0.00163381 t=12980
